Maternal_ID,Nest_ID,Hatchling_No,Hatchling_ID,Time_Point,Hatch_Date,Incubation duration,Treatment,Clutch_size,Split_clutch,Unhatched,Success rate,NoHatchlings,Hatch_Time,Start,Finish,Full_Incubation_MeanTemp,Full_Incubation_MaxTemp,Full_Incubation_MinTemp,Full_Incubation_SDTemp,MiddleThird_Incubation_MeanTemp,MiddleThird_Incubation_MaxTemp,MiddleThird_Incubation_MinTemp,MiddleThird_Incubation_SDTemp,MiddleThird_Incubation_Duration_Days,Weight_g,SCL1,SCL2,SCL3,SCL_mm,SCW1,SCW2,SCW3,SCW_mm,Scute_L,Scute_C,Scute_R,Run1_s,Run2_s,Run_success,Run_average,Flip1_s,Flip2_s,Flip3_s,Flip_Success,Flip_average,Blood,Sequenced,WGBS
1,162,1,162-1,3,16/09/2021,49,Shallow,77,38,2,95,33,20:29:00,20:41:00,20:49:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,18.5,42.3,42.4,42.4,42.37,33.2,33.2,33.2,33.2,5,5,5,17.41,9.34,2,13.375,fail,fail,fail,0,NA,y,n,
1,162,10,162-10,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.3,43.4,43.5,43.4,43.43,34.1,33.6,33.6,33.77,5,5,5,17.09,7.87,2,12.48,fail,fail,52.51,1,52.51,y,n,
1,162,11,162-11,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,18.2,41.8,41.9,41.8,41.83,33.8,34,33.6,33.8,5,5,5,10.5,10.19,2,10.345,4.12,4.72,1.53,3,3.456666667,y,y,yes
1,162,12,162-12,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.7,43.6,43.6,43.6,43.6,33.6,33.4,33.3,33.43,5,5,5,8.22,8.81,2,8.515,1.09,6.72,fail,2,3.905,y,n,
1,162,13,162-13,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.3,43.3,43.4,43.3,43.33,34.6,34.5,34.5,34.53,5,5,5,11.19,11.75,2,11.47,fail,fail,fail,0,NA,y,n,
1,162,14,162-14,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.4,43.5,43.3,43.3,43.37,33.7,33.5,33.2,33.47,5,5,5,13.4,15.78,2,14.59,1.94,1.31,1.34,3,1.53,y,n,
1,162,15,162-15,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,20,42.7,42.6,42.8,42.7,33.7,33.8,33.5,33.67,5,5,5,33.56,12.5,2,23.03,1.44,2.37,2.31,3,2.04,y,n,
1,162,16,162-16,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,20.1,42.3,42.1,42.3,42.23,33.6,33.7,33.5,33.6,5,5,5,12.56,14.63,2,13.595,17.41,fail,12.15,2,14.78,y,n,
1,162,17,162-17,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,18.4,42.7,42.9,42.9,42.83,33.3,33.3,33.4,33.33,5,5,5,15.22,16.62,2,15.92,fail,fail,fail,0,NA,y,n,
1,162,18,162-18,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,20.4,43.4,43.3,43.4,43.37,32.7,32.9,32.7,32.77,5,5,5,42.78,11.97,2,27.375,10.75,fail,fail,1,10.75,y,n,
1,162,19,162-19,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,18.9,42.9,42.9,42.9,42.9,32.9,33.1,32.9,32.97,5,5,5,13.12,13.53,2,13.325,41.69,5.22,6.81,3,17.90666667,y,n,
1,162,2,162-2,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.2,43.2,43.3,43.4,43.3,32.5,32.6,32.5,32.53,5,5,5,15.22,15,2,15.11,fail,19.04,fail,1,19.04,y,n,
1,162,20,162-20,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,20,42.3,42.4,42.2,42.3,32.2,32.3,32.6,32.37,5,5,5,9.57,12.09,2,10.83,fail,fail,31.56,1,31.56,y,n,
1,162,3,162-3,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,20.8,43.6,43.8,43.5,43.63,33.4,33.5,33,33.3,5,5,5,10.41,10,2,10.205,fail,fail,fail,0,NA,y,n,
1,162,4,162-4,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.7,43.3,43.4,43.3,43.33,33.7,33.2,33.4,33.43,5,5,5,12.81,40.82,2,26.815,36.87,58.19,fail,2,47.53,y,n,
1,162,5,162-5,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,20.2,43.3,42.9,42.8,43,33.8,34.1,34,33.97,5,5,5,9.57,9.78,2,9.675,fail,fail,fail,0,NA,y,n,
1,162,6,162-6,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.7,42.5,42.7,43,42.73,33,33.4,33.1,33.17,4,5,5,9.34,12.19,2,10.765,fail,fail,fail,0,NA,y,n,
1,162,7,162-7,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,20.2,43.4,43,43.5,43.3,33.7,33.2,33.6,33.5,5,5,5,11.19,9.31,2,10.25,46,4.85,46.75,3,32.53333333,y,y,yes
1,162,8,162-8,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,19.6,44.7,44.4,44.8,44.63,33.8,33.9,34,33.9,5,5,5,10.13,11.25,2,10.69,fail,fail,38.79,1,38.79,y,n,
1,162,9,162-9,3,16/09/2021,49,Shallow,77,38,2,95,33,23:37:00,23:50:00,01:04:00,31.42457192,34.15,28.23,1.625302722,31.07313864,32.34,29.77,0.612571022,16.21875,18.8,42.5,42.6,42.7,42.6,32.7,32.6,32.4,32.57,5,5,5,11.9,11.19,2,11.545,16.87,13.35,21.69,3,17.30333333,y,n,
1,163,1,163-1,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.7,42.7,42.8,42.7,42.73,33.7,33.9,33.8,33.8,5,5,5,15.38,10.28,2,12.83,1.35,1.41,1.84,3,1.533333333,y,y,yes
1,163,10,163-10,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.4,43.5,43.5,43.4,43.47,34.2,34.3,34.3,34.27,5,5,5,14.91,11.91,2,13.41,4.41,4.97,10.94,3,6.773333333,y,n,
1,163,11,163-11,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19.4,44,43.9,44.1,44,34.9,35,35.2,35.03,5,5,5,17.43,13.41,2,15.42,1.35,6.38,3.82,3,3.85,y,n,
1,163,12,163-12,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19.4,42.5,42.5,42.6,42.53,35.3,35.4,35.5,35.4,5,5,5,13.25,12.34,2,12.795,0.88,3.44,1.63,3,1.983333333,y,n,
1,163,13,163-13,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,17.8,42.8,42.7,42.8,42.77,33.8,33.7,33.9,33.8,5,5,5,17.6,12.54,2,15.07,1,0.84,1.16,3,1,y,n,
1,163,14,163-14,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.1,41.8,41.9,41.9,41.87,33.8,33.6,33.8,33.73,5,5,5,13.75,11.12,2,12.435,1.91,1.41,2.82,3,2.046666667,y,n,
1,163,15,163-15,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.9,41.8,41.7,41.9,41.8,33.2,33.1,33.3,33.2,5,5,5,8.69,8.56,2,8.625,18.87,1.75,1.4,3,7.34,y,n,
1,163,16,163-16,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.2,43.6,43.3,43.1,43.33,34.4,34.5,34.3,34.4,5,5,5,12.91,11.22,2,12.065,1,1.85,1.03,3,1.293333333,y,n,
1,163,17,163-17,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.1,42.5,42.9,42.2,42.53,33.6,33.8,33.7,33.7,5,5,5,13.56,14.62,2,14.09,2.22,5.41,1.03,3,2.886666667,y,n,
1,163,18,163-18,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19.2,43.9,44.1,44,44,35.3,35.3,35.3,35.3,5,5,5,15.31,13.84,2,14.575,4.25,2.53,1.34,3,2.706666667,y,n,
1,163,19,163-19,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19.2,45.4,45.5,45.5,45.47,35,34.6,34.5,34.7,5,5,5,17.66,14.1,2,15.88,1.47,3.78,4.78,3,3.343333333,y,n,
1,163,2,163-2,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19,42.9,42.9,43,42.93,34.2,33.8,34,34,5,5,5,13.1,11.91,2,12.505,1.59,1.47,1.82,3,1.626666667,y,n,
1,163,20,163-20,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.5,41.8,42.1,42,41.97,35.2,34.9,35.1,35.07,5,5,5,14.6,17.94,2,16.27,2.56,2.18,2.66,3,2.466666667,y,n,
1,163,3,163-3,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.9,43.4,43.4,43.2,43.33,34.3,34,34.3,34.2,5,5,5,13.59,12.1,2,12.845,1.53,1.46,1.78,3,1.59,y,n,
1,163,4,163-4,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,17.9,43.2,43,43.1,43.1,34.2,34.2,34,34.13,5,5,5,18.32,13.28,2,15.8,25.13,1.31,22.53,3,16.32333333,y,n,
1,163,5,163-5,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19.6,44.3,44.1,44.2,44.2,35.8,35.7,35.6,35.7,5,5,5,11.66,9.6,2,10.63,3.59,1.44,3.44,3,2.823333333,y,y,yes
1,163,6,163-6,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19,42.2,42.3,42.1,42.2,33.5,33.8,33.6,33.63,5,5,5,12.12,10.4,2,11.26,4.75,6.75,19.79,3,10.43,y,n,
1,163,7,163-7,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.8,43.6,43.7,43.5,43.6,35.2,35.1,35.3,35.2,5,5,5,10.31,8.41,2,9.36,1.06,1.84,12.25,3,5.05,y,n,
1,163,8,163-8,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,18.4,42.5,42.7,42.7,42.63,33.5,33.2,33.2,33.3,5,5,5,10.97,10.07,2,10.52,1.5,1.88,6.12,3,3.166666667,y,n,
1,163,9,163-9,3,22/09/2021,55,Deep,77,38,1,97,37,23:19:00,23:30:00,00:25:00,30.53891387,33.07,27.97,1.477204129,30.2834,31.79,29.38,0.628893712,18.21875,19.8,43.8,43.8,43.8,43.8,35.2,35.2,35.2,35.2,5,5,5,13.25,10.56,2,11.905,2.91,fail,1.84,2,2.375,y,n,
2,164,1,164-1,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,16.2,42.9,42.7,43.1,42.9,32.2,32.6,32.4,32.4,5,5,5,15.03,14.56,2,14.795,58.82,fail,26.53,2,42.675,y,n,
2,164,10,164-10,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,16.8,42.7,42.6,42.3,42.53,33.3,33.5,33.6,33.47,5,5,5,16.43,27.97,2,22.2,fail,fail,38.29,1,38.29,y,n,
2,164,11,164-11,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,17.7,43.1,42.6,42.6,42.77,33.4,33.2,33.5,33.37,5,5,5,17.09,31.35,2,24.22,fail,fail,fail,0,NA,y,n,
2,164,12,164-12,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,16.3,42.9,42.4,42.8,42.7,32.5,32.6,32.3,32.47,5,5,5,16.69,14.69,2,15.69,39.66,fail,fail,1,39.66,y,n,
2,164,13,164-13,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,17.1,42.1,42.3,42.6,42.33,32.7,32.6,33.1,32.8,5,5,5,53.41,22.13,2,37.77,3.53,9.91,24.82,3,12.75333333,y,y,yes
2,164,14,164-14,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,17.2,42.7,43.1,43.2,43,32.9,32.4,32.8,32.7,5,6,5,fail,fail,0,NA,fail,fail,fail,0,NA,y,n,
2,164,15,164-15,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,14.9,39.1,39.3,39.4,39.27,29.7,29.7,29.9,29.77,5,5,5,41.65,17.72,2,29.685,fail,fail,fail,0,NA,y,n,
2,164,16,164-16,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,15.9,41,41.2,41.1,41.1,32.5,32.5,32.9,32.63,5,5,5,17.38,14.54,2,15.96,fail,fail,fail,0,NA,y,n,
2,164,17,164-17,3,17/09/2021,50,Shallow,98,48,6,88,27,20:43:00,20:54:00,22:10:00,31.39444631,34.19,28.23,1.64471552,31.03138994,32.39,29.73,0.613720729,16.55208333,16.6,41.9,42.3,42.1,42.1,30.9,30.7,30.7,30.77,5,5,5,fail,fail,0,NA,5.44,fail,59.18,2,32.31,y,n,
