"Nest_ID","Time_Point","Date_Laid","Female_ID","Treatment","Mid_Logger_ID","Top_Logger_ID","Bottom_Logger_ID","Clutch_Size","Split_Clutch_Size","Overall_Hatching_Date","Incubation_Duration","Frags","Live_Full_Term","Dead_Full_Term","Live_Pip","Dead_Pip","Unhatched_Egg_No_Embryo","Unhatched_Egg_Embryo","Unhatched_Egg_Fully_Formed_Embryo","Total_Unhatched","Notes","Full_Incubation_MeanTemp","Full_Incubation_MaxTemp","Full_Incubation_MinTemp","Full_Incubation_SDTemp","MiddleThird_Incubation_MeanTemp","MiddleThird_Incubation_MaxTemp","MiddleThird_Incubation_MinTemp","MiddleThird_Incubation_SDTemp","MiddleThird_Incubation_Duration_Days"
162,"3","29/07/2021","SLL063","Shallow",21114994,NA,NA,77,38,"16/09/2021",49,35,1,0,1,0,1,1,0,2,"WGBS sequenced",31.4245719178082,34.15,28.23,1.62530272159039,31.0731386392811,32.34,29.77,0.612571022479186,16.21875
163,"3","29/07/2021","SLL063","Deep",21114909,NA,NA,77,38,"22/09/2021",55,37,0,0,0,0,1,0,0,1,"WGBS sequenced",30.5389138719512,33.07,27.97,1.47720412911801,30.2834,31.79,29.38,0.628893712255927,18.21875
164,"3","29/07/2021","SLL065","Shallow",21114916,NA,NA,98,48,"17/09/2021",50,40,10,1,2,1,5,0,0,5,"WGBS sequenced",31.3944463087248,34.19,28.23,1.64471551997662,31.0313899371069,32.39,29.73,0.613720728783313,16.5520833333333
165,"3","29/07/2021","SLL065","Deep",21114920,NA,NA,98,49,"21/09/2021",54,40,6,0,0,8,1,0,0,1,"WGBS sequenced",30.7282045807453,33.07,27.84,1.57328468884908,30.3908265424913,31.92,29.47,0.656238653865212,17.8854166666667
166,"3","29/07/2021","SLL146","Shallow",21115094,NA,NA,68,34,"19/09/2021",52,28,0,0,0,0,3,2,1,6,"WGBS sequenced",31.3109274193548,33.76,28.1,1.41495001745636,31.1422672309553,32.6,29.77,0.619611433907074,17.21875
167,"3","29/07/2021","SLL146","Deep",21114922,NA,NA,68,33,"24/09/2021",57,23,0,0,1,1,5,2,1,8,"WGBS sequenced",30.4110772058823,32.3,27.84,1.1931375827353,30.3701488423374,31.66,29.43,0.604549975448213,18.8854166666667
168,"3","29/07/2021","SLL176","Shallow",21114902,NA,NA,78,39,"19/09/2021",52,36,3,0,0,1,1,0,1,2,"WGBS sequenced",31.3674591651543,33.8,28.05,1.44001071394938,31.2124969770254,32.82,29.81,0.674724288870694,17.21875
169,"3","29/07/2021","SLL176","Deep",21115093,NA,NA,78,38,"25/09/2021",58,37,0,3,0,0,1,0,0,1,"WGBS sequenced",30.4168587427746,32.26,27.84,1.16462319478197,30.510931744312,31.92,29.47,0.679225047577996,19.21875
170,"3","29/07/2021","SLL142","Shallow",21114913,NA,NA,101,50,"16/09/2021",49,35,4,1,1,0,4,8,2,14,"WGBS sequenced",31.5962200342466,34.19,27.93,1.50513005899787,31.3362130937099,32.6,30.07,0.625998422690177,16.21875
171,"3","29/07/2021","SLL142","Deep",21114995,NA,NA,101,50,"21/09/2021",54,42,1,0,0,0,3,4,1,8,"WGBS sequenced",30.8215081521739,33.03,27.84,1.39665807283134,30.7011932479627,32.26,29.77,0.682747905376265,17.8854166666667
172,"3","29/07/2021","SLL188","Shallow",21114906,NA,NA,104,51,"18/09/2021",51,29,0,0,0,3,7,1,11,19,"WGBS sequenced",31.4625267269737,33.63,27.8,1.36258883513957,31.2960234278668,32.73,29.98,0.601469335521724,16.8854166666667
173,"3","29/07/2021","SLL188","Deep",21115089,NA,NA,104,52,"24/09/2021",57,20,0,0,0,2,16,2,12,30,"WGBS sequenced",30.6905882352941,33.59,27.5,1.17675645262135,30.5874586549063,31.66,29.64,0.52585296160678,18.8854166666667
174,"3","29/07/2021","SLL144","Deep",21115091,NA,NA,63,31,"25/09/2021",58,15,0,0,0,1,7,6,2,15,"WGBS sequenced",30.191235549133,31.44,27.97,0.826226251775302,30.2412351029252,31.06,29.43,0.428817611758949,19.21875
175,"3","29/07/2021","SLL144","Shallow",21114921,NA,NA,63,31,"20/09/2021",53,18,0,0,0,2,4,2,6,12,"WGBS sequenced",31.2559157436709,33.07,28.18,1.08833714303763,31.3709608540925,32.9,29.94,0.627380708944979,17.5520833333333
176,"3","29/07/2021","SLL189","Shallow",21114918,NA,NA,67,33,"19/09/2021",52,29,4,1,0,0,1,2,1,4,"WGBS sequenced",31.2695423387097,33.42,28.05,1.26993976934636,31.1527146311971,32.52,29.9,0.596563211773756,17.21875
177,"3","29/07/2021","SLL189","Deep",21115096,NA,NA,67,33,"24/09/2021",57,18,0,0,0,0,6,2,7,15,"WGBS sequenced",30.6270551470588,32.39,27.84,1.09410402565184,30.6913230429989,31.92,29.6,0.60528688602535,18.8854166666667
